Ratings,No_of_ratings,Operating_system,Screen_size(inches),Display_type,Touchscreen,Processor_speed(GHz),Cache_memory(MBs),RAM(Gig),RAM_max,Memory_slots,RAM_speed(MHz),Harddrive_type,Harddrive_capacity(Gig),Weight(kg),Warranty,Optical_Drive,Adapter(watts),Battery_cells,Battery_type,Battery_life(Hrs),Fingerprint,Screen_pixel_density(width),Screen_pixel_density(height),Processor_brand,Processor_cores,Graphics_brand,Length(mm),Width(mm),Height(mm),USB(2.0),USB(2.0)_ports,Bluetooth_,Bluetooth_version,USB(typeC),USB(typeC)_ports,Keyboard_backlit,Brand
4.3,106.0, Google Chrome ,14.0, LED , Yes ,2.1,4.0,4.0,,1.0,2666.0,nan,64.0,1.65,1.0,No,65.0,3.0,Li-Po,13.0,Yes,1920,1080,Intel,4.0,Intel Graphics,321.5,206.0,17.9,nan,,Yes,5.0,Yes,2.0,yes,HP
,,Windows,15.6, LED , No ,,,,,1.0,,nan,512.0,,1.0,No,,,Li-Ion,,No,1920,1080,Intel,,nan,,,,Yes,2.0,Yes,4.0,Yes,1.0,,Dell
4.2,161.0,Windows,14.0, LED , Yes ,1.8,8.0,8.0,,1.0,2666.0,nan,512.0,1.58,1.0,No,41.0,3.0,Li-Ion,,Yes,1920,1080,Intel,8.0,Intel Graphics,322.0,223.0,19.7,nan,,Yes,5.0,nan,,yes,HP
4.2,207.0,Windows,15.6, LED , No ,3.0,6.0,4.0,,1.0,,nan,256.0,1.7,1.0,nan,45.0,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,365.0,240.0,18.9,Yes,1.0,Yes,5.1,Yes,1.0,yes,Lenovo
,,Windows,14.0, LED , No ,1.6,6.0,8.0,,1.0,2400.0,nan,256.0,1.3,1.0,No,65.0,3.0,Li-Po,,No,1920,1080,Intel,6.0,Intel Graphics,,,,nan,,Yes,5.0,Yes,1.0,,Lenovo
,,Windows,14.0, LED , No ,2.7,4.0,16.0,,1.0,2133.0,nan,1000.0,1.1,1.0,No,46.0,4.0,Li-Po,12.0,Yes,1920,1080,Intel,4.0,Intel Graphics,329.0,214.0,12.9,nan,,Yes,4.1,Yes,2.0,yes,Asus
4.5,1212.0, Google Chrome ,11.6, LED , Yes ,2.0,2.0,4.0,,1.0,3733.0,nan,32.0,1.08,1.0,No,45.0,2.0,Li-Po,,No,1366,768,MediaTek,,MediaTek Graphics,285.0,192.8,16.8,Yes,1.0,Yes,4.2,nan,,,HP
3.9,654.0,Windows,14.0, LED , No ,1.0,6.0,8.0,,1.0,2666.0,HDD,1000.0,1.55,1.0,No,65.0,3.0,Li-Po,,No,1920,1080,Intel,6.0,Intel Graphics,322.7,230.5,17.9,nan,,Yes,4.2,nan,,yes,Lenovo
,,Windows,14.0, LED , No ,1.8,8.0,8.0,,1.0,,nan,512.0,1.49,1.0,No,45.0,3.0,Li-Ion,,No,1920,1080,Intel,8.0,Intel Graphics,,,,Yes,2.0,Yes,5.0,nan,,,Lenovo
,,Windows,15.6, LED , No ,,8.0,8.0,12.0,2.0,3200.0,nan,512.0,1.65,1.0,nan,45.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,359.0,237.0,19.9,Yes,1.0,Yes,5.0,Yes,1.0,,Lenovo
